Date,Adj Close,Close,High,Low,Open,Volume
2024-08-26,5.739999771118164,5.739999771118164,5.760000228881836,5.489999771118164,5.599999904632568,342000
2024-08-27,5.599999904632568,5.599999904632568,5.730000019073486,5.449999809265137,5.730000019073486,189700
2024-08-28,5.539999961853027,5.539999961853027,5.659999847412109,5.369999885559082,5.570000171661377,203800
2024-08-29,5.559999942779541,5.559999942779541,5.840000152587891,5.539999961853027,5.599999904632568,239600
2024-08-30,5.699999809265137,5.699999809265137,5.75,5.5,5.570000171661377,180000
2024-09-03,5.460000038146973,5.460000038146973,5.840000152587891,5.380000114440918,5.690000057220459,231000
2024-09-04,5.570000171661377,5.570000171661377,5.610000133514404,5.329999923706055,5.360000133514404,147900
2024-09-05,5.630000114440918,5.630000114440918,5.679999828338623,5.460000038146973,5.599999904632568,201500
2024-09-06,5.550000190734863,5.550000190734863,5.75,5.340000152587891,5.639999866485596,193200
2024-09-09,5.619999885559082,5.619999885559082,5.769999980926514,5.570000171661377,5.570000171661377,156600
2024-09-10,5.559999942779541,5.559999942779541,5.639999866485596,5.519999980926514,5.639999866485596,81800
2024-09-11,5.590000152587891,5.590000152587891,5.619999885559082,5.449999809265137,5.550000190734863,86100
2024-09-12,5.579999923706055,5.579999923706055,5.679999828338623,5.539999961853027,5.599999904632568,105500
2024-09-13,5.579999923706055,5.579999923706055,5.75,5.53000020980835,5.630000114440918,151000
2024-09-16,5.329999923706055,5.329999923706055,5.690000057220459,5.320000171661377,5.590000152587891,167300
2024-09-17,5.460000038146973,5.460000038146973,5.670000076293945,5.329999923706055,5.329999923706055,181100
2024-09-18,5.449999809265137,5.449999809265137,5.610000133514404,5.429999828338623,5.489999771118164,160400
2024-09-19,5.800000190734863,5.800000190734863,5.96999979019165,5.570000171661377,5.590000152587891,516800
2024-09-20,6.019999980926514,6.019999980926514,6.019999980926514,5.71999979019165,5.809999942779541,439300
2024-09-23,5.860000133514404,5.860000133514404,6.179999828338623,5.800000190734863,6.03000020980835,309800
2024-09-24,5.760000228881836,5.760000228881836,5.940000057220459,5.690000057220459,5.940000057220459,180900
2024-09-25,5.929999828338623,5.929999828338623,6.050000190734863,5.760000228881836,5.760000228881836,306400
2024-09-26,5.929999828338623,5.929999828338623,6.039999961853027,5.760000228881836,5.96999979019165,202900
2024-09-27,5.889999866485596,5.889999866485596,6.21999979019165,5.849999904632568,5.940000057220459,330800
2024-09-30,6.320000171661377,6.320000171661377,6.46999979019165,5.889999866485596,5.889999866485596,402400
2024-10-01,6.460000038146973,6.460000038146973,6.480000019073486,6.079999923706055,6.389999866485596,499100
2024-10-02,6.230000019073486,6.230000019073486,6.449999809265137,6.059999942779541,6.449999809265137,302300
2024-10-03,6.380000114440918,6.380000114440918,6.420000076293945,6.170000076293945,6.170000076293945,204400
2024-10-04,6.460000038146973,6.460000038146973,6.599999904632568,6.420000076293945,6.420000076293945,184600
2024-10-07,6.539999961853027,6.539999961853027,6.730000019073486,6.389999866485596,6.510000228881836,428700
2024-10-08,6.53000020980835,6.53000020980835,6.739999771118164,6.5,6.559999942779541,178600
2024-10-09,6.639999866485596,6.639999866485596,6.670000076293945,6.389999866485596,6.519999980926514,224000
2024-10-10,6.579999923706055,6.579999923706055,6.659999847412109,6.409999847412109,6.619999885559082,375500
2024-10-11,6.409999847412109,6.409999847412109,6.590000152587891,6.400000095367432,6.519999980926514,207300
2024-10-14,6.269999980926514,6.269999980926514,6.480000019073486,6.25,6.349999904632568,215800
2024-10-15,6.539999961853027,6.539999961853027,6.550000190734863,6.150000095367432,6.28000020980835,143000
2024-10-16,6.519999980926514,6.519999980926514,6.679999828338623,6.289999961853027,6.539999961853027,234700
2024-10-17,6.739999771118164,6.739999771118164,6.78000020980835,6.400000095367432,6.539999961853027,197700
2024-10-18,6.670000076293945,6.670000076293945,6.730000019073486,6.630000114440918,6.699999809265137,82000
2024-10-21,6.550000190734863,6.550000190734863,6.739999771118164,6.539999961853027,6.670000076293945,81300
2024-10-22,6.570000171661377,6.570000171661377,6.619999885559082,6.46999979019165,6.519999980926514,107000
2024-10-23,6.25,6.25,6.579999923706055,6.21999979019165,6.559999942779541,205200
2024-10-24,6.340000152587891,6.340000152587891,6.46999979019165,6.119999885559082,6.21999979019165,208800
2024-10-25,6.5,6.5,6.639999866485596,6.300000190734863,6.360000133514404,163100
2024-10-28,6.389999866485596,6.389999866485596,6.679999828338623,6.340000152587891,6.519999980926514,224500
2024-10-29,6.570000171661377,6.570000171661377,6.78000020980835,6.349999904632568,6.78000020980835,500300
2024-10-30,6.360000133514404,6.360000133514404,6.639999866485596,6.289999961853027,6.489999771118164,243100
2024-10-31,6.409999847412109,6.409999847412109,6.429999828338623,6.039999961853027,6.320000171661377,253500
2024-11-01,6.25,6.25,6.46999979019165,6.21999979019165,6.46999979019165,219100
2024-11-04,6.039999961853027,6.039999961853027,6.289999961853027,5.949999809265137,6.289999961853027,433500
2024-11-05,6.210000038146973,6.210000038146973,6.260000228881836,5.96999979019165,6.039999961853027,193100
2024-11-06,6.28000020980835,6.28000020980835,6.380000114440918,6.130000114440918,6.25,183800
2024-11-07,6.380000114440918,6.380000114440918,6.480000019073486,6.25,6.300000190734863,171300
2024-11-08,6.400000095367432,6.400000095367432,6.449999809265137,6.25,6.429999828338623,195000
2024-11-11,6.429999828338623,6.429999828338623,6.519999980926514,6.309999942779541,6.489999771118164,451500
2024-11-12,6.110000133514404,6.110000133514404,6.78000020980835,6.070000171661377,6.78000020980835,925400
2024-11-13,6.099999904632568,6.099999904632568,6.349999904632568,6.03000020980835,6.050000190734863,289100
2024-11-14,5.949999809265137,5.949999809265137,6.300000190734863,5.920000076293945,6.300000190734863,411800
